id,source,task_type,text,label,hallucination_type,question,knowledge,prediction,score,error_type,triggered_modules
halueval_hall_9629,HaluEval,qa,Gilbert Johnson played halfback in the same team.,1,factual,What 1948 Heisman Trophy winner and American football player played college football on the same team as quarterback Gilbert Johnson?,"Among his siblings was older brother Gilbert Johnson, who played quarterback at Southern Methodist University with the iconic running back Doak Walker. He played college football as a halfback at Southern Methodist University (SMU), where he won the Heisman Trophy in 1948.",0,0.0,FN,
halueval_right_7468,HaluEval,qa,yes,0,none,Are both Valley International Airport and Westerly State Airport airports?,"Valley International Airport (VIA) (IATA: HRL, ICAO: KHRL, FAA LID: HRL) is owned by the City of Harlingen, in Cameron County, Texas.Westerly State Airport (IATA: KWST, ICAO: WST) is a public use airport in Washington County, Rhode Island, United States.",1,0.3,FP,knowledge
halueval_hall_2123,HaluEval,qa,"Alexis Sánchez specialized in the high jump, which is also included in the athletics program at the Summer Olympic Games.",1,factual,Alexis Sánchez specialized in the event that is included in the athletics program at what premier event?,"Alexis Sánchez González (born 13 April 1971) is a retired Spanish athlete who specialised in the 110 metres hurdles and 400 metres hurdles.The 110 metres hurdles, or 110-meter hurdles, is a hurdling track and field event for men. It is included in the athletics programme at the Summer Olympic Games.",0,0.0,FN,
halueval_hall_1644,HaluEval,qa,The 2005 Houston Texans fired the only person to serve one different NFL expansion team as their inaugural head coach.,1,factual,The 2005 Houston Texans fired the only person to serve how many different NFL expansion teams as inaugural head coach?,"The 2005 Houston Texans season was the fourth season in franchise history. The team fired head coach Dom Capers after the season; he was replaced by Denver Broncos offensive coordinator Gary Kubiak.Ernest Dominic Capers (born August 7, 1950) is an American football coach and the current defensive coordinator for the Green Bay Packers of the National Football League (NFL). He is the only person to serve two different NFL expansion teams as their inaugural head coach.",0,0.0,FN,
halueval_hall_2381,HaluEval,qa,Mukhabarat el-Jamahiriya was the national intelligence service of Libya under a different Libyan revolutionary.,1,factual,"Mukhabarat el-Jamahiriya, (Intelligence of the Jamahiriya) was the national intelligence service of Libya under which Libyan revolutionary, politician, and political theorist?","Mukhabarat el-Jamahiriya (Arabic: مخابرات الجماهيرية‎ ‎ ) (Intelligence of the Jamahiriya) was the national intelligence service of Libya under Muammar Gaddafi.Muammar Mohammed Abu Minyar Gaddafi ( ;    ;  1942 20 October 2011), commonly known as Colonel Gaddafi, was a Libyan revolutionary, politician, and political theorist.",0,0.0,FN,
halueval_hall_5659,HaluEval,qa,Imli is sourced from a tropical tree.,1,factual,What is the name of the leguminous tree that creates the flavor Imli for the digestive tablet Hajmola?,"Hajmola is a digestive tablet manufactured by Dabur in India and Hilal in Pakistan. Hajmola comes in five flavours: Original, Nimbu (Lemon), Imli (Tamarind), Pudina (Peppermint), Amrud (Guava) and Anardana (Pomegranate).Tamarind (""Tamarindus indica"") is a leguminous tree in the family Fabaceae indigenous to tropical Africa.",0,0.0,FN,
halueval_hall_5880,HaluEval,qa,"The author of ""Chasing Kangaroos"" is Tim Flannery.",1,factual,Which Australian mammalogist wrote Chasing Kangaroos,"Chasing Kangaroos: A Continent, a Scientist, and a Search for the World's Most Extraordinary Creature, is a 2007 book (ISBN  ) by Professor Tim Flannery.Timothy Fridtjof ""Tim"" Flannery (born 28 January 1956) is an Australian mammalogist, palaeontologist, environmentalist and global warming activist.",0,0.0,FN,
halueval_right_2541,HaluEval,qa,yes,0,none,Are Jennifer Lynch and Martin Scorsese both directors?,"Jennifer Chambers Lynch (born April 7, 1968) is an American film director and screenwriter.Martin Charles Scorsese ( ; ] ; born November 17, 1942) is an American director, producer, screenwriter, and film historian, whose career spans more than 50 years.",1,0.27,FP,knowledge
halueval_right_5347,HaluEval,qa,15 February 1930,0,none,When was the Italian general and air power theorist dies who's theories strong opponent was Amedeo Mecozzi?,"Amedeo Mecozzi (17 January 1892 – 2 November 1971) was an Italian fighter ace of World War I, a general of the Italian Regia Aeronautica and a military theorist credited as the founding father of the ""Attack air force"" doctrine, which made him a strong opponent to general Giulio Douhet's theories.General Giulio Douhet (30 May 1869 – 15 February 1930) was an Italian general and air power theorist.",1,0.096,FP,temporal
halueval_hall_3150,HaluEval,qa,Mayorga Castañeda serves in a major Mexican political party.,1,factual,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,"Francisco Javier Mayorga Castañeda (born on 17 April 1951) is a Mexican businessman and politician who serves as Secretary of Agriculture in the cabinet of President Felipe Calderón since 7 September 2009. He has previously served in the same post from 28 September 2005 to 30 November 2006 in the administration of President Vicente Fox. He is a member of the National Action Party (""Partido Acción Nacional"", PAN), one of the three major Mexican political parties.",0,0.0,FN,
halueval_hall_3985,HaluEval,qa,"Young Guns is known for ""Weatherman"".",1,factual,"Who is currently best known for their single ""Weatherman"" from their debut eponymous album ""Dead Sara"", Young Guns or Dead Sara ?","Dead Sara is an American hard rock band from Los Angeles, consisting of Emily Armstrong (lead vocals, rhythm guitar), Siouxsie Medley (lead guitar, backing vocals), Sean Friday (drums, backing vocals) and Chris Null (bass guitar, backing vocals) currently best known for their single ""Weatherman"" from their debut eponymous album ""Dead Sara"" (2012).Young Guns are an English alternative rock band from High Wycombe, Buckinghamshire.",0,0.0,FN,
halueval_hall_9654,HaluEval,qa,Stephen Ambrose Sarkisian is with Atlanta.,1,factual,What NFL team does the 2010 Washington Huskies head coach work for?,"The 2010 Washington Huskies football team represented the University of Washington in the 2010 NCAA Division I FBS football season. The team's head coach was Steve Sarkisian.Stephen Ambrose Sarkisian (born March 8, 1974) is an American football coach and former player who is currently the offensive coordinator for the Atlanta Falcons of the National Football League (NFL).",0,0.0,FN,
halueval_hall_2368,HaluEval,qa,Sleep Room was formed in Reading.,1,factual,"Which rock band was formed in Arizona, Sleep Room or Jimmy Eat World?","Sleep Room are an English alternative rock band from Reading, Berkshire who have attracted attention from Berkshire's music community Josaka and the BBC who have noted them for their original sound, epic soundscapes and emotive style.Jimmy Eat World is an American rock band from Mesa, Arizona, that formed in 1993.",0,0.0,FN,
halueval_hall_6061,HaluEval,qa,The Carpenter 1 Fire occurred on the highest mountain peak in all of Nevada!,1,factual,"The Carpenter 1 Fire was a fire on what highest mountain peak in Clark County, Nevada?","The Carpenter 1 Fire was a large wildfire on Mount Charleston, 25 miles northwest of Las Vegas, Nevada.Mount Charleston, officially named Charleston Peak, at 11916 ft , is the highest mountain in both the Spring Mountains and Clark County, in Nevada, United States.",0,0.0,FN,
halueval_hall_5999,HaluEval,qa,"""Arrow"" and ""The Flash"".",1,factual,"Which American superhero action-adventure television series developed by Ali Adler, Greg Berlanti, and Andrew Kreisberg stars American actress Calista Flockhart?","Calista Kay Flockhart (born November 11, 1964) is an American actress best known for playing the title character in ""Ally McBeal"".Supergirl is an American superhero action-adventure television series developed by Ali Adler, Greg Berlanti and Andrew Kreisberg (the latter two having previously created ""Arrow"" and ""The Flash"") that originally aired on CBS and premiered on October 26, 2015.",0,0.0,FN,
halueval_hall_8857,HaluEval,qa,"The company initially focused on documentaries, including Meerkat Manor.",1,factual,What is the production focus of the company that went on to produce a hit show by following families of of meerkats in the Kalahari Desert?,"Oxford Scientific Films (OSF) is a British company that produces natural history and documentary programmes.Meerkat Manor is a British television programme produced by Oxford Scientific Films for Animal Planet International that premiered in September 2005 and ran for four series until its cancellation in August 2008. Blending more traditional animal documentary style footage with dramatic narration, the series told the story of the Whiskers, one of more than a dozen families of meerkats in the Kalahari Desert being studied as part of the Kalahari Meerkat Project, a long-term field study into the ecological causes and evolutionary consequences of the cooperative nature of meerkats.",0,0.0,FN,
halueval_hall_3798,HaluEval,qa,"No, only some are flowering.",1,factual,Are all members of the Epacris and Bulbophyllum genera flowering plants?,"Epacris is a genus of about 35–40 species of flowering plants in the family Ericaceae. With more than 2,000 species, it is also one of the largest genera of flowering plants, exceeded only by ""Astragalus"".",0,0.0,FN,
halueval_hall_6708,HaluEval,qa,"Annie Flanders wrote Silent Bob Speaks, featuring Details magazine.",1,factual,What comic book author wrote a collection of essays that included a magazine founded by Annie Flanders as a source?,"Silent Bob Speaks: The Collected Writings of Kevin Smith is a collection of essays written by screenwriter, director, and comic book author Kevin Smith.Details was an American monthly men's magazine published by Condé Nast, founded in 1982 by Annie Flanders.",0,0.0,FN,
halueval_hall_9519,HaluEval,qa,"William Arnold ""Billy"" Costello was the creator of Popeye the Sailor character.",1,factual,"Who created the character that William Arnold ""Billy"" Costello  voiced and appeared in the daily King Features comic strip?","William Arnold ""Billy"" Costello (February 2, 1898 – October 9, 1971), commonly known as ""Red Pepper Sam"", was an American live and voice actor, and the original voice of Popeye the Sailor in animated cartoons.Popeye the Sailor is a cartoon fictional character created by Elzie Crisler Segar.",0,0.0,FN,
halueval_hall_884,HaluEval,qa,"No, A Tiger Walks is not a family film but A Kid in King Arthur's Court is.",1,factual,Are A Tiger Walks and A Kid in King Arthur's Court both family films?,"A Tiger Walks is a 1964 family drama film, directed by Norman Tokar and produced by Walt Disney Productions.A Kid in King Arthur's Court is a 1995 Disney family film directed by Michael Gottlieb.",0,0.0,FN,
halueval_hall_3915,HaluEval,qa,Kinniya Divisional Secretariat is a secratariat of an island country located southeast of the Republic of India.,1,factual,The Kinniya Divisional Secratariat is a secratariat of a country located southeast of what other country?,"Kinniya Divisional Secretariat is a Divisional Secretariat of Trincomalee District, of Eastern Province, Sri Lanka.Sri Lanka ( or ; Sinhalese: ශ්‍රී ලංකා ""Śrī Laṃkā "", Tamil: இலங்கை ""Ilaṅkai""), officially the Democratic Socialist Republic of Sri Lanka, is an island country located southeast of the Republic of India and northeast of the Maldives.",0,0.0,FN,
halueval_hall_1628,HaluEval,qa,Trax Colton appeared in two films as a contract player for an American film studio located just east of Beverly Hills.,1,factual,Trax Colton appeared in two films as a contract player for an American film studio located just west of where?,"Trax Colton (born Louis A. Morelli; May 26, 1929) is an American former motion picture actor who appeared in two films as a contract player for 20th Century Fox between 1960 and 1962.Twentieth Century Fox Film Corporation (known as Twentieth Century-Fox Film Corporation with hyphen from 1935 until 1985, stylized as 20th Century Fox or simply known as Fox or 20th Century Fox Pictures) is an American film studio currently owned by 21st Century Fox. It is one of the ""Big Six"" major American film studios and is located in the Century City area of Los Angeles, just west of Beverly Hills.",0,0.0,FN,
halueval_hall_3775,HaluEval,qa,Murder in a Blue World starred the famous entrepreneur Christopher Mitchum.,1,factual,Murder in a Blue World starred which American businessman?,"Una gota de sangre para morir amando (English: Murder in a Blue World ) is a 1973 Spanish/French film directed by Eloy de la Iglesia and starring Sue Lyon, Christopher Mitchum and Jean Sorel.Christopher ""Chris"" Mitchum (born October 16, 1943), is an American film actor, screenwriter, and businessman.",0,0.0,FN,
halueval_hall_8525,HaluEval,qa,Acura CL was introduced first.,1,factual,"Which was introduced first, Acura CL or Acura TL?","The Acura CL is a midsize coupé manufactured by Honda's Acura brand from February 19, 1996 to 1999, and from 2000 to 2003.The Acura TL is a mid-size luxury car that was manufactured by Acura. It was introduced in 1995 to replace the Acura Vigor and was badged for the Japanese-market from 1996 to 2000 as the Honda Inspire and from 1996 to 2004 as the Honda Saber. Four generations of the Acura TL were produced, with the final fourth generation TL premiering in 2008 as a 2009 model and ending production in 2014, when it was replaced together with the TSX by the TLX.",0,0.0,FN,
halueval_right_1455,HaluEval,qa,yes,0,none,Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,Manuel Orantes Corral (] ; born 6 February 1949) is a former tennis player who was active in the 1970s and 1980s.Anna-Lena Grönefeld (born 4 June 1985) is a German tennis player.,1,0.27,FP,knowledge
halueval_hall_4744,HaluEval,qa,"No, Veronica is in the Plantaginaceae family and Ulex is in the Fabaceae family.",1,factual,Are Veronica and Ulex both in the flowering plant family?,"Veronica is the largest genus in the flowering plant family Plantaginaceae, with about 500 species; it was formerly classified in the family Scrophulariaceae.Ulex (commonly known as gorse, furze or whin) is a genus of flowering plants in the family Fabaceae.",0,0.0,FN,
halueval_hall_6260,HaluEval,qa,The president who allegedly allowed people to use bathrooms based on gender identity never campaigned.,1,factual,When did the president who allegedly allowed people to use bathrooms based on gender identity campaign,"Rationales offered for possible impeachment included false claims that Obama was born outside of the United States, that he allegedly allowed people to use bathrooms based on their gender identity, an alleged White House cover-up after the 2012 Benghazi attack and failure to enforce immigration laws.During Barack Obama's campaign for president in 2008, through his presidency, and afterwards, many conspiracy theories were circulated, falsely asserting that he was not a natural-born citizen of the United States and consequently, under , that he was ineligible to be President of the United States.",0,0.0,FN,
halueval_right_3517,HaluEval,qa,no,0,none,"Tampa International Airport and John F. Kennedy International Airport, are national airports?","Tampa International Airport (IATA: TPA, ICAO: KTPA, FAA LID: TPA) is a public airport six miles west of Downtown Tampa, in Hillsborough County, Florida, United States.John F. Kennedy International Airport (IATA: JFK, ICAO: KJFK, FAA LID: JFK) , often referred to as Kennedy Airport, or simply JFK, is the primary international airport serving New York City.",1,0.15,FP,knowledge
halueval_hall_4145,HaluEval,qa,Due Date,1,factual,The director of War Dogs also directed which film starring Breckin Meyer?,"He is best known for writing and directing ""Road Trip"" (2000), ""Old School"" (2003), ""Starsky & Hutch"" (2004), ""The Hangover Trilogy"" (2009, 2011, and 2013), ""Due Date"" (2010) and ""War Dogs"" (2016).Road Trip is a 2000 American comedy film directed by Todd Phillips and written by Scot Armstrong and Phillips. The film stars Breckin Meyer, Seann William Scott, Paulo Costanzo, and DJ Qualls as four college friends who embark on an 1800-mile road trip to retrieve an illicit tape mistakenly mailed to a girlfriend.",0,0.0,FN,
halueval_hall_4872,HaluEval,qa,"She made her acting debut in ""Attack the Block"".",1,factual,What was the film debut for the actress starring in the cult science fiction film written and directed by Joe Cornish?,"She came to prominence in her 2006 feature film debut ""Venus"", for which she received British Independent Film Award and Satellite Award nominations. She was later praised for her roles in the cult science fiction film ""Attack the Block"", the ""Black Mirror"" episode ""The Entire History of You"", and as grieving mother Beth Latimer in ""Broadchurch"".Attack the Block is a 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",0,0.0,FN,
halueval_hall_2241,HaluEval,qa,The battle that Don Chafin commanded lasted for six days.,1,factual,How long was the battle that Don Chafin was a commander in in 1921?,"Don Chafin (June 26, 1887 – August 9, 1954) was the sheriff of Logan County, West Virginia and a commander in the Battle of Blair Mountain. For five days in late August and early September 1921, in Logan County, West Virginia, some 10,000 armed coal miners confronted 3,000 lawmen and strikebreakers, called the Logan Defenders, who were backed by coal mine operators during an attempt by the miners to unionize the southwestern West Virginia coalfields.",0,0.0,FN,
halueval_right_8567,HaluEval,qa,yes,0,none,Are  André Cayatte and William Dieterle of different nationalities?,"André Cayatte (3 February 1909, Carcassonne – 6 February 1989, Paris) was a French filmmaker and lawyer, who became known for his films centering on themes of crime, justice, and moral responsibility.William Dieterle (July 15, 1893 – December 9, 1972) was a German actor and film director, who worked in Hollywood for much of his career.",1,0.27,FP,knowledge
halueval_hall_9505,HaluEval,qa,Henri Matisse was a contemporary.,1,factual,Jules Flandrin was a contemporary of what famous French painter known for work associated with Fauvism and Expressionism?,"He was a contemporary of Henri Matisse, Georges Rouault, Albert Marquet, Henri Evenepoel and Léon Printemps.Georges Henri Rouault (] ; 27 May 1871 – 13 February 1958) was a French painter, draughtsman, and printer, whose work is often associated with Fauvism and Expressionism.",0,0.0,FN,
halueval_hall_9038,HaluEval,qa,The Maui Land & Pineapple Company has become a popular tourist destination.,1,factual,"What area has become a popular tourist destination, maintained by the Maui Land & Pineapple Company?","The 1764 m summit rises above the Puʻ u Kukui Watershed Management Area, an 8661 acre private nature preserve maintained by the Maui Land & Pineapple Company. The peak was formed by a volcano whose caldera eroded into what is now Īʻ ao Valley. Because of its natural environment and history, it has become a tourist location.",0,0.0,FN,
halueval_right_6551,HaluEval,qa,yes,0,none,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?,"919 Third Avenue is an office building in New York City, built in 1971, and is located at the intersection of Third Avenue and East 55th Street in Midtown Manhattan.The Morgan Stanley Building at 1585 Broadway is the headquarters of Morgan Stanley, on the west side of Broadway, north of Duffy Square in the Times Square neighborhood of midtown Manhattan, New York City.",1,0.27,FP,knowledge
halueval_hall_6248,HaluEval,qa,"Karamay is a city, but Guiping is a town in China.",1,factual,Are Karamay and Guiping both cities in China?,"Karamay or Kelamayi is a prefecture-level city in the north of the Xinjiang Uygur Autonomous Region, People's Republic of China.Guiping is a county-level city in eastern Guangxi, China.",0,0.0,FN,
halueval_hall_604,HaluEval,qa,John Patrick Shanley directed the movie.,1,factual,Who directed the movie that Olympia Dukakis won an Academy Award for?,"She later transitioned to film acting and in 1987 she won an Academy Award, a Golden Globe, and a BAFTA nomination for her performance in ""Moonstruck"".Moonstruck is a 1987 American romantic comedy film directed by Norman Jewison and written by John Patrick Shanley.",0,0.0,FN,
halueval_right_4257,HaluEval,qa,yes,0,none,Are Marc Rosset and Guillermo Vilas both tennis players?,"Marc Rosset (born 7 November 1970) is a former professional tennis player from Switzerland who is best remembered for winning the men's singles gold medal at the 1992 Olympic Games.Guillermo Vilas (] ; born 17 August 1952) is a retired professional tennis player from Argentina, N°1 of the Grand Prix tennis circuit's Season in 1974, 1975 and 1977, who won four majors, seven Grand Prix Super Series titles and 62 ATP titles.",1,0.27,FP,knowledge
